class,PCP_MAD,PCP_MPIJAD,PCK,PCIK,MPIJAD,MAD,Sparsity
chair_pose,0.0,1.0,0.5,1.0,0.0,0.2185007780790329,0.75
chair_pose,0.0,0.0,0.6666666666666666,0.5,0.12392152100801468,0.10579567402601242,0.75
chair_pose,1.0,0.0,0.75,0.0,0.36893218755722046,0.08594844490289688,0.75
chair_pose,0.0,0.0,0.4166666666666667,0.5,0.11882813274860382,0.21074354648590088,0.6666666666666666
chair_pose,1.0,0.0,0.8333333333333334,0.5,0.12888756394386292,0.05462387576699257,0.75
chair_pose,1.0,1.0,0.9166666666666666,1.0,0.0478704459965229,0.03225197643041611,0.75
chair_pose,1.0,1.0,0.75,0.5,0.05608202517032623,0.05177983641624451,0.8333333333333334
chair_pose,1.0,1.0,0.6666666666666666,0.5,0.09411624073982239,0.07491005212068558,0.75
downward-facing_dog_pose,0.0,1.0,0.6666666666666666,1.0,0.014538120478391647,0.19579927623271942,0.75
downward-facing_dog_pose,1.0,1.0,0.8333333333333334,1.0,0.008464188314974308,0.055123817175626755,0.75
downward-facing_dog_pose,1.0,1.0,0.9166666666666666,1.0,0.049006782472133636,0.021978408098220825,0.8333333333333334
downward-facing_dog_pose,1.0,1.0,0.8333333333333334,1.0,0.003902141470462084,0.03399673476815224,0.9166666666666666
downward-facing_dog_pose,1.0,1.0,0.8333333333333334,1.0,0.04073520377278328,0.09538716077804565,0.75
downward-facing_dog_pose,1.0,1.0,0.8333333333333334,1.0,0.016528209671378136,0.04955337941646576,0.75
goddess_pose,1.0,1.0,0.5833333333333334,0.5,0.07025981694459915,0.09681526571512222,0.8333333333333334
goddess_pose,1.0,0.0,0.6666666666666666,0.5,0.1096004843711853,0.09263265877962112,0.75
goddess_pose,1.0,1.0,0.9166666666666666,1.0,0.0,0.04296615719795227,0.8333333333333334
goddess_pose,1.0,1.0,0.9166666666666666,1.0,0.0,0.027769478037953377,0.8333333333333334
goddess_pose,1.0,0.0,0.75,0.0,0.111335389316082,0.039996664971113205,0.8333333333333334
goddess_pose,1.0,1.0,0.75,1.0,0.02973063662648201,0.09998216480016708,0.6666666666666666
goddess_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.0596715547144413,0.8333333333333334
goddess_pose,0.0,1.0,0.5833333333333334,0.5,0.0742233544588089,0.2353839874267578,0.8333333333333334
goddess_pose,0.0,1.0,0.75,1.0,0.0,0.1329929679632187,0.8333333333333334
goddess_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.0511520691215992,0.8333333333333334
goddess_pose,1.0,1.0,0.75,1.0,0.041054029017686844,0.08090922236442566,0.75
goddess_pose,1.0,1.0,0.9166666666666666,1.0,0.04364721104502678,0.015980981290340424,0.75
goddess_pose,0.0,1.0,0.5833333333333334,0.5,0.07563330233097076,0.11762017011642456,0.75
goddess_pose,0.0,1.0,0.8333333333333334,1.0,0.06383376568555832,0.10584356635808945,0.8333333333333334
goddess_pose,1.0,1.0,0.9166666666666666,1.0,0.028984736651182175,0.030914373695850372,0.75
goddess_pose,1.0,1.0,0.8333333333333334,1.0,0.01578657142817974,0.07036754488945007,0.75
goddess_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.04497918859124184,0.75
goddess_pose,0.0,0.0,0.75,0.0,0.3795662820339203,0.10498777776956558,0.75
goddess_pose,0.0,1.0,0.5,1.0,0.0,0.1364467740058899,0.75
goddess_pose,1.0,0.0,0.75,0.0,0.1763806790113449,0.06387921422719955,0.8333333333333334
goddess_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.03578639402985573,0.8333333333333334
goddess_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.05234871432185173,0.6666666666666666
goddess_pose,1.0,1.0,0.75,0.5,0.06601239740848541,0.05400924012064934,0.8333333333333334
goddess_pose,0.0,1.0,0.5,0.5,0.06547573208808899,0.14471088349819183,0.6666666666666666
goddess_pose,1.0,1.0,1.0,1.0,0.050335660576820374,0.015846487134695053,0.75
goddess_pose,1.0,1.0,0.8333333333333334,1.0,0.07215315848588943,0.0813000425696373,0.8333333333333334
goddess_pose,0.0,1.0,0.6666666666666666,1.0,0.0,0.1646089106798172,0.75
goddess_pose,1.0,1.0,0.5833333333333334,1.0,0.0,0.08940541744232178,0.8333333333333334
goddess_pose,1.0,0.0,0.75,0.0,0.15495595335960388,0.06391922384500504,0.8333333333333334
goddess_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.13289940357208252,0.75
goddess_pose,1.0,1.0,1.0,1.0,0.010997219011187553,0.0036508452612906694,0.8333333333333334
goddess_pose,1.0,1.0,0.8333333333333334,1.0,0.09552529454231262,0.04967949166893959,0.8333333333333334
lord_of_the_dance_pose,0.0,0.0,0.5,0.0,0.23562517762184143,0.18366937339305878,0.6666666666666666
lord_of_the_dance_pose,0.0,0.0,0.5833333333333334,0.5,0.10224942862987518,0.1669529229402542,0.75
lord_of_the_dance_pose,1.0,1.0,0.9166666666666666,1.0,0.03268349543213844,0.0654304102063179,0.75
lord_of_the_dance_pose,1.0,1.0,1.0,1.0,0.08455286175012589,0.01636890508234501,0.75
lord_of_the_dance_pose,1.0,1.0,0.9166666666666666,1.0,0.04341013357043266,0.02217520959675312,0.75
lord_of_the_dance_pose,1.0,1.0,0.9166666666666666,1.0,0.013516658917069435,0.01142085064202547,0.75
lord_of_the_dance_pose,1.0,1.0,1.0,1.0,0.07303329557180405,0.017501825466752052,0.75
lord_of_the_dance_pose,1.0,1.0,0.9166666666666666,1.0,0.06566555052995682,0.02026602439582348,0.75
lord_of_the_dance_pose,1.0,1.0,0.75,1.0,0.0,0.05380735173821449,0.8333333333333334
lord_of_the_dance_pose,1.0,0.0,0.8333333333333334,0.0,0.12982162833213806,0.03193795680999756,0.75
lord_of_the_dance_pose,1.0,1.0,0.8333333333333334,1.0,0.0,0.057363253086805344,0.8333333333333334
lord_of_the_dance_pose,1.0,0.0,0.75,0.0,0.2198701798915863,0.048568353056907654,0.75
lord_of_the_dance_pose,0.0,1.0,0.4166666666666667,1.0,0.0,0.29546427726745605,0.75
lord_of_the_dance_pose,1.0,1.0,0.75,1.0,0.04080432280898094,0.08120978623628616,0.75
lord_of_the_dance_pose,1.0,1.0,0.8333333333333334,1.0,0.07249756157398224,0.07453446835279465,0.75
lord_of_the_dance_pose,1.0,1.0,0.6666666666666666,0.5,0.05343110114336014,0.0672762542963028,0.75
lord_of_the_dance_pose,1.0,0.0,0.6666666666666666,0.5,0.10508713126182556,0.0610889308154583,0.75
lord_of_the_dance_pose,0.0,1.0,0.6666666666666666,1.0,0.0,0.1065472736954689,0.75
lord_of_the_dance_pose,1.0,1.0,0.75,1.0,0.022946100682020187,0.05190153792500496,0.75
lord_of_the_dance_pose,1.0,0.0,0.8333333333333334,0.0,0.11701450496912003,0.04646109417080879,0.75
lord_of_the_dance_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.20396935939788818,0.75
lord_of_the_dance_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.1102803573012352,0.75
lord_of_the_dance_pose,1.0,1.0,0.75,0.5,0.07441997528076172,0.06610842049121857,0.8333333333333334
lord_of_the_dance_pose,1.0,1.0,0.8333333333333334,1.0,0.05933152884244919,0.059146031737327576,0.75
lord_of_the_dance_pose,0.0,1.0,0.6666666666666666,1.0,0.03831882402300835,0.14123181998729706,0.75
lord_of_the_dance_pose,0.0,1.0,0.6666666666666666,1.0,0.0,0.10278908163309097,0.75
lord_of_the_dance_pose,1.0,1.0,0.75,1.0,0.0,0.060707688331604004,0.75
lord_of_the_dance_pose,1.0,0.0,0.8333333333333334,0.0,0.3292599320411682,0.04980443790555,0.75
lord_of_the_dance_pose,1.0,1.0,1.0,1.0,0.010130440816283226,0.009252002462744713,0.8333333333333334
lord_of_the_dance_pose,1.0,1.0,0.9166666666666666,1.0,0.03839618340134621,0.020230066031217575,0.75
low_lunge_pose,1.0,0.0,0.75,0.0,0.19865910708904266,0.07507436722517014,0.8333333333333334
low_lunge_pose,0.0,1.0,0.4166666666666667,0.5,0.09869298338890076,0.15002135932445526,0.6666666666666666
low_lunge_pose,1.0,1.0,0.6666666666666666,1.0,0.0,0.07489071041345596,0.75
low_lunge_pose,1.0,0.0,0.8333333333333334,0.0,0.12108681350946426,0.038211576640605927,0.75
low_lunge_pose,1.0,0.0,0.75,0.0,0.43423983454704285,0.0911090299487114,0.75
low_lunge_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.1379512995481491,0.8333333333333334
low_lunge_pose,0.0,1.0,0.4166666666666667,1.0,0.0,0.17301945388317108,0.75
low_lunge_pose,0.0,0.0,0.6666666666666666,0.5,0.12139115482568741,0.189402773976326,0.75
low_lunge_pose,1.0,0.0,0.75,0.0,0.3087722063064575,0.09655188769102097,0.75
low_lunge_pose,0.0,1.0,0.5833333333333334,1.0,0.0,0.22902043163776398,0.75
low_lunge_pose,0.0,1.0,0.6666666666666666,1.0,0.0,0.10650519281625748,0.8333333333333334
low_lunge_pose,0.0,0.0,0.5833333333333334,0.5,0.30994510650634766,0.19871802628040314,0.75
low_lunge_pose,1.0,1.0,0.6666666666666666,1.0,0.0,0.0900472104549408,0.75
low_lunge_pose,0.0,0.0,0.4166666666666667,0.5,0.1339416801929474,0.1377958506345749,0.6666666666666666
low_lunge_pose,1.0,0.0,0.75,0.0,0.1297873854637146,0.04603354260325432,0.75
low_lunge_pose,0.0,1.0,0.6666666666666666,1.0,0.04808289185166359,0.10285550355911255,0.75
low_lunge_pose,0.0,1.0,0.6666666666666666,0.5,0.084996297955513,0.11461422592401505,0.8333333333333334
low_lunge_pose,0.0,0.0,0.6666666666666666,0.5,0.10217157006263733,0.10344763845205307,0.8333333333333334
low_lunge_pose,1.0,1.0,0.75,1.0,0.0,0.08943510055541992,0.8333333333333334
low_lunge_pose,1.0,0.0,0.75,0.0,0.21600039303302765,0.04768773540854454,0.8333333333333334
low_lunge_pose,1.0,1.0,0.9166666666666666,1.0,0.048648156225681305,0.04604099690914154,0.8333333333333334
low_lunge_pose,1.0,1.0,1.0,1.0,0.04611874371767044,0.013836137019097805,0.75
low_lunge_pose,1.0,1.0,1.0,1.0,0.03253308683633804,0.008001922629773617,0.75
low_lunge_pose,1.0,0.0,0.8333333333333334,0.5,0.11335129290819168,0.04348597303032875,0.75
low_lunge_pose,0.0,0.0,0.75,0.0,0.36048898100852966,0.12260449677705765,0.75
low_lunge_pose,0.0,1.0,0.6666666666666666,0.5,0.07505657523870468,0.12372985482215881,0.75
